2026-02-24T03:51:40.064Z | GET     200 | 5ms | 127.0.0.1 | /api/elections | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Avast/144.0.0.0
2026-02-24T03:52:10.012Z | GET     200 | 4ms | 127.0.0.1 | /api/elections | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Avast/144.0.0.0
2026-02-24T03:52:39.994Z | GET     200 | 3ms | 127.0.0.1 | /api/elections | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Avast/144.0.0.0
2026-02-24T03:53:21.679Z | POST    200 | 474ms | 127.0.0.1 | /api/admin/login | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Avast/144.0.0.0
2026-02-24T03:53:21.879Z | GET     200 | 44ms | 127.0.0.1 | /api/admin/me | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Avast/144.0.0.0
2026-02-24T03:53:21.977Z | GET     200 | 4ms | 127.0.0.1 | /api/elections | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Avast/144.0.0.0
2026-02-24T03:53:21.991Z | GET     200 | 11ms | 127.0.0.1 | /api/voters/students | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Avast/144.0.0.0
2026-02-24T03:53:22.008Z | GET     200 | 7ms | 127.0.0.1 | /api/elections | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Avast/144.0.0.0
2026-02-24T03:53:22.050Z | GET     200 | 3ms | 127.0.0.1 | /api/voters/students | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Avast/144.0.0.0
2026-02-24T03:53:35.557Z | GET     200 | 17ms | 127.0.0.1 | /api/elections/4 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Avast/144.0.0.0
2026-02-24T03:53:35.573Z | GET     200 | 1ms | 127.0.0.1 | /api/elections/4 | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Avast/144.0.0.0
